sensor_index,name,pm25_cf_1,humidity,latitude,longitude,timestamp
213227,Ka'anapali Golf Course,1.4,38,20.917889,-156.69092,2020-09-15T00:00:00Z
213231,Wilcox ES,0,13,21.97612,-159.3652,2020-09-15T00:00:00Z
213229,454 Wailau Pl,0.1,51,20.839342,-156.63266,2020-09-15T00:00:00Z
213235,Kanakea Loop,0.2,38,20.88536,-156.67067,2020-09-15T00:00:00Z
213389,Lahaina IS,0,41,20.88536,-156.663,2020-09-15T00:00:00Z
213403,Koloa ES,0,48,21.898151,-159.46667,2020-09-15T00:00:00Z
221875,MakahaBeachCabanas.org,0,22,21.462627,-158.2125,2020-09-15T00:00:00Z
222457,MakahaBeachCabanas.org,0.8,41,21.46308,-158.21268,2020-09-15T00:00:00Z
224933,Amaui Hale,4.2,48,20.004044,-155.80353,2020-09-15T00:00:00Z
229043,Kapiolani - PS,0.6,60,20.02339,-155.66847,2020-09-15T00:00:00Z
231159,Urban Honolulu,0.4,47,21.344294,-157.87785,2020-09-15T00:00:00Z
232435,Lualai,0,36,20.013409,-155.6708,2020-09-15T00:00:00Z
233357,PUUKI,0.9,43,20.022945,-155.66937,2020-09-15T00:00:00Z
233627,NI18,0.2,61,21.949501,-159.36494,2020-09-15T00:00:00Z
233645,Nahale Place,1,51,20.889029,-156.68161,2020-09-15T00:00:00Z
236713,King Kaumualii ES,0.1,58,21.995827,-159.35118,2020-09-15T00:00:00Z
241331,Olowalu Village 1,0.1,52,20.811556,-156.61208,2020-09-15T00:00:00Z
252921,Niuli’i,1.2,47,20.222397,-155.74649,2020-09-15T00:00:00Z
256983,Normal Lab,2.3,55,21.391928,-157.74237,2020-09-15T00:00:00Z
260341,KonaPalUp,3.3,46,19.717882,-155.9821,2020-09-15T00:00:00Z
2213,Telex exch Honaunau,5.5,56,19.427696,-155.8759,2020-09-15T00:00:00Z
265189,Bea’s Knees Farm,6.5,49,19.549244,-155.93234,2020-09-15T00:00:00Z
3831,Waikii HPR tower,0.7,40,19.885942,-155.64737,2020-09-15T00:00:00Z
3836,HPA Energy Lab,0.1,96,20.031683,-155.69576,2020-09-15T00:00:00Z
3915,Elab internal,0,31,20.132814,-155.15334,2020-09-15T00:00:00Z
10690,Hoku,0.7,43,20.024797,-155.67482,2020-09-15T00:00:00Z
11058,Palm Villas at Mauna Lani,4.3,48,19.939959,-155.865,2020-09-15T00:00:00Z
11238,Kalaoa,3.9,59,19.71006,-155.98712,2020-09-15T00:00:00Z
11352,Jacaranda,5.7,48,19.474651,-155.90161,2020-09-15T00:00:00Z
11480,Kona View Estates,6.4,52,19.68627,-155.97891,2020-09-15T00:00:00Z
273805,Wainani,5.1,40,19.717693,-156.00674,2020-09-15T00:00:00Z
11662,Milolii Beach Lots,3.3,52,19.202532,-155.89539,2020-09-15T00:00:00Z
11996,73-4503 Kohanaiki Rd.,5.9,48,19.704615,-155.9838,2020-09-15T00:00:00Z
12062,Honokaa,0,45,20.067993,-155.46208,2020-09-15T00:00:00Z
12543,Hualalai,4.8,62,19.82537,-155.99638,2020-09-15T00:00:00Z
13323,Kohala Loke Lani,0.9,46,20.0704,-155.8446,2020-09-15T00:00:00Z
279394,Kamahao and Hookanike,0.3,50,21.398216,-157.95416,2020-09-15T00:00:00Z
283584,"Pickin' &amp; Grinin' Farm,  Wood Valley",12.7,27,19.277136,-155.47499,2020-09-15T00:00:00Z
25265,Silver Oaks,6.2,47,19.700962,-155.97987,2020-09-15T00:00:00Z
26843,Kahala &amp; Ulili,0,35,21.263254,-157.78575,2020-09-15T00:00:00Z
39147,Kapolie,0.3,34,21.360147,-158.04251,2020-09-15T00:00:00Z
56907,Kaohe Mauka,5.6,43,19.311298,-155.87045,2020-09-15T00:00:00Z
70191,HAVO Rainshed,0,NA,19.430813,-155.2578,2020-09-15T00:00:00Z
72125,Waikiki at Ena Rd,1.2,37,21.286882,-157.83478,2020-09-15T00:00:00Z
81885,Hale Kona,6.4,39,19.604677,-155.9645,2020-09-15T00:00:00Z
82965,RLA-B,0.1,44,21.310122,-157.8587,2020-09-15T00:00:00Z
88961,Kona Paradise,9.2,61,19.31378,-155.88242,2020-09-15T00:00:00Z
89607,Puuki at 2800ft,0.2,44,20.026686,-155.67798,2020-09-15T00:00:00Z
90025,"4,200 ft elevation Kaloko Mauka",10.8,98,19.706736,-155.9291,2020-09-15T00:00:00Z
90239,Lion's Gate Farm,5.7,56,19.43138,-155.88371,2020-09-15T00:00:00Z
93707,Hawaii Swimming,5,33,19.934813,-155.78651,2020-09-15T00:00:00Z
95485,Alii Lani,2.1,39,19.617756,-155.98204,2020-09-15T00:00:00Z
96233,STEM Pre-Academy,0,40,21.309168,-157.80869,2020-09-15T00:00:00Z
98887,"Kihei, HI",0.9,44,20.77523,-156.45792,2020-09-15T00:00:00Z
113943,JZHI,2.5,48,19.707436,-155.9796,2020-09-15T00:00:00Z
119811,Makalei Estates,1.9,47,19.73341,-155.9805,2020-09-15T00:00:00Z
120267,Umauma,0.8,49,21.938766,-159.50589,2020-09-15T00:00:00Z
121353,Moleculen,1.5,57,19.51558,-155.92781,2020-09-15T00:00:00Z
123663,Volcano,0,49,19.451317,-155.24246,2020-09-15T00:00:00Z
123827,Cocoanuts,0,35,21.968475,-159.72006,2020-09-15T00:00:00Z
125285,Ae’o,1.5,52,19.611593,-155.95692,2020-09-15T00:00:00Z
